run,vision_angle,N,vision_range,Ek_w,Ok_w,Pk_w,Ak_w,Ik_w,speed_mean,speed_sd,gamma,max_density,crossing_mean,crossing_sd,max_peds,max_cars,spawn_rate_car,spawn_rate_pedes,wolf,sheep
12,141.97265625,3,4.07421875,1.1767578125,0.32421875,0.82578125,0.13671875,0.81953125,0.13005859375,0.030693359375,0.8169921875,5.0224609375,0.22890625,0.1267578125,17,4,0.1442255859375,0.0696005859375,2.817181421219119,4.336906819218204
13,141.97265625,3,4.07421875,1.1767578125,0.32421875,0.82578125,0.13671875,0.81953125,0.13005859375,0.030693359375,0.8169921875,4.7646484375,0.21796875000000002,0.1267578125,17,4,0.1442255859375,0.0696005859375,4.922728236379321,8.976986189613122
14,141.97265625,3,4.07421875,1.1767578125,0.32421875,0.82578125,0.13671875,0.81953125,0.13005859375,0.030693359375,0.8169921875,4.7646484375,0.22890625,0.0791015625,17,4,0.1442255859375,0.0696005859375,9.31746594673075,3.4732960140424938
15,141.97265625,3,4.07421875,1.1767578125,0.32421875,0.82578125,0.13671875,0.81953125,0.13005859375,0.030693359375,0.8169921875,4.7646484375,0.22890625,0.1267578125,24,4,0.1442255859375,0.0696005859375,8.753015861382028,7.7081755386323865
16,141.97265625,3,4.07421875,1.1767578125,0.32421875,0.82578125,0.13671875,0.81953125,0.13005859375,0.030693359375,0.8169921875,4.7646484375,0.22890625,0.1267578125,17,6,0.1442255859375,0.0696005859375,6.852552258951511,6.949435541146224
17,141.97265625,3,4.07421875,1.1767578125,0.32421875,0.82578125,0.13671875,0.81953125,0.13005859375,0.030693359375,0.8169921875,4.7646484375,0.22890625,0.1267578125,17,4,0.16054980468750002,0.0696005859375,4.006104061280436,8.70549667092187
18,141.97265625,3,4.07421875,1.1767578125,0.32421875,0.82578125,0.13671875,0.81953125,0.13005859375,0.030693359375,0.8169921875,4.7646484375,0.22890625,0.1267578125,17,4,0.1442255859375,0.1543310546875,9.595654077655947,7.048010486873799
19,141.97265625,15,4.08984375,1.0498046875,0.8601562500000001,0.5320312500000001,0.56640625,0.82578125,0.10240234375,0.039794921875,0.8119140625000001,5.0224609375,0.21796875000000002,0.0791015625,24,6,0.16054980468750002,0.1543310546875,4.093081147509653,8.525420059832491
20,219.12109375,3,4.08984375,1.0498046875,0.8601562500000001,0.5320312500000001,0.56640625,0.82578125,0.10240234375,0.039794921875,0.8119140625000001,5.0224609375,0.21796875000000002,0.0791015625,24,6,0.16054980468750002,0.1543310546875,3.207585492796192,6.81016703098479
21,219.12109375,15,4.07421875,1.0498046875,0.8601562500000001,0.5320312500000001,0.56640625,0.82578125,0.10240234375,0.039794921875,0.8119140625000001,5.0224609375,0.21796875000000002,0.0791015625,24,6,0.16054980468750002,0.1543310546875,5.317722869723746,7.862170371811368
22,219.12109375,15,4.08984375,1.1767578125,0.8601562500000001,0.5320312500000001,0.56640625,0.82578125,0.10240234375,0.039794921875,0.8119140625000001,5.0224609375,0.21796875000000002,0.0791015625,24,6,0.16054980468750002,0.1543310546875,3.012012581272474,4.370153552485784
23,219.12109375,15,4.08984375,1.0498046875,0.32421875,0.5320312500000001,0.56640625,0.82578125,0.10240234375,0.039794921875,0.8119140625000001,5.0224609375,0.21796875000000002,0.0791015625,24,6,0.16054980468750002,0.1543310546875,5.585858755170647,2.5334350707344484
24,219.12109375,15,4.08984375,1.0498046875,0.8601562500000001,0.82578125,0.56640625,0.82578125,0.10240234375,0.039794921875,0.8119140625000001,5.0224609375,0.21796875000000002,0.0791015625,24,6,0.16054980468750002,0.1543310546875,9.253813663237352,2.005956894778725
25,219.12109375,15,4.08984375,1.0498046875,0.8601562500000001,0.5320312500000001,0.13671875,0.82578125,0.10240234375,0.039794921875,0.8119140625000001,5.0224609375,0.21796875000000002,0.0791015625,24,6,0.16054980468750002,0.1543310546875,5.32307668182104,3.7085601176007446
26,219.12109375,15,4.08984375,1.0498046875,0.8601562500000001,0.5320312500000001,0.56640625,0.81953125,0.10240234375,0.039794921875,0.8119140625000001,5.0224609375,0.21796875000000002,0.0791015625,24,6,0.16054980468750002,0.1543310546875,6.313146407049629,6.62711997368141
27,219.12109375,15,4.08984375,1.0498046875,0.8601562500000001,0.5320312500000001,0.56640625,0.82578125,0.13005859375,0.039794921875,0.8119140625000001,5.0224609375,0.21796875000000002,0.0791015625,24,6,0.16054980468750002,0.1543310546875,5.91931141260274,5.5469137706257055
28,219.12109375,15,4.08984375,1.0498046875,0.8601562500000001,0.5320312500000001,0.56640625,0.82578125,0.10240234375,0.030693359375,0.8119140625000001,5.0224609375,0.21796875000000002,0.0791015625,24,6,0.16054980468750002,0.1543310546875,9.911405753517748,3.148688931683899
29,219.12109375,15,4.08984375,1.0498046875,0.8601562500000001,0.5320312500000001,0.56640625,0.82578125,0.10240234375,0.039794921875,0.8169921875,5.0224609375,0.21796875000000002,0.0791015625,24,6,0.16054980468750002,0.1543310546875,8.996101913198734,5.415541696705174
30,219.12109375,15,4.08984375,1.0498046875,0.8601562500000001,0.5320312500000001,0.56640625,0.82578125,0.10240234375,0.039794921875,0.8119140625000001,4.7646484375,0.21796875000000002,0.0791015625,24,6,0.16054980468750002,0.1543310546875,2.086283662167144,9.959379180825822
31,219.12109375,15,4.08984375,1.0498046875,0.8601562500000001,0.5320312500000001,0.56640625,0.82578125,0.10240234375,0.039794921875,0.8119140625000001,5.0224609375,0.22890625,0.0791015625,24,6,0.16054980468750002,0.1543310546875,5.02867982701377,8.23619918164684
32,219.12109375,15,4.08984375,1.0498046875,0.8601562500000001,0.5320312500000001,0.56640625,0.82578125,0.10240234375,0.039794921875,0.8119140625000001,5.0224609375,0.21796875000000002,0.1267578125,24,6,0.16054980468750002,0.1543310546875,6.322739387099103,5.156310970056241
33,219.12109375,15,4.08984375,1.0498046875,0.8601562500000001,0.5320312500000001,0.56640625,0.82578125,0.10240234375,0.039794921875,0.8119140625000001,5.0224609375,0.21796875000000002,0.0791015625,17,6,0.16054980468750002,0.1543310546875,4.74170644540924,6.224010409129416
34,219.12109375,15,4.08984375,1.0498046875,0.8601562500000001,0.5320312500000001,0.56640625,0.82578125,0.10240234375,0.039794921875,0.8119140625000001,5.0224609375,0.21796875000000002,0.0791015625,24,4,0.16054980468750002,0.1543310546875,4.05719394947374,4.033565832152427
35,219.12109375,15,4.08984375,1.0498046875,0.8601562500000001,0.5320312500000001,0.56640625,0.82578125,0.10240234375,0.039794921875,0.8119140625000001,5.0224609375,0.21796875000000002,0.0791015625,24,6,0.1442255859375,0.1543310546875,4.3131196008961235,6.455848778119152
36,219.12109375,15,4.08984375,1.0498046875,0.8601562500000001,0.5320312500000001,0.56640625,0.82578125,0.10240234375,0.039794921875,0.8119140625000001,5.0224609375,0.21796875000000002,0.0791015625,24,6,0.16054980468750002,0.0696005859375,4.133309019193289,4.673107125507763
37,219.12109375,15,4.08984375,1.0498046875,0.8601562500000001,0.5320312500000001,0.56640625,0.82578125,0.10240234375,0.039794921875,0.8119140625000001,5.0224609375,0.21796875000000002,0.0791015625,24,6,0.16054980468750002,0.1543310546875,9.32934055889072,7.269290433377735
38,191.97265625,12,2.07421875,0.6767578125,0.72421875,0.42578125,0.53671875,0.41953125,0.10005859375000001,0.035693359375,0.9169921875,6.2646484375,0.62890625,0.2267578125,42,8,0.044725585937500006,0.16910058593750002,9.570072615171672,3.0142132075125554
39,169.12109375,12,2.07421875,0.6767578125,0.72421875,0.42578125,0.53671875,0.41953125,0.10005859375000001,0.035693359375,0.9169921875,6.2646484375,0.62890625,0.2267578125,42,8,0.044725585937500006,0.16910058593750002,6.634451453805103,8.643849501622196
40,191.97265625,6,2.07421875,0.6767578125,0.72421875,0.42578125,0.53671875,0.41953125,0.10005859375000001,0.035693359375,0.9169921875,6.2646484375,0.62890625,0.2267578125,42,8,0.044725585937500006,0.16910058593750002,8.707296240422103,8.913556600275726
41,191.97265625,12,2.08984375,0.6767578125,0.72421875,0.42578125,0.53671875,0.41953125,0.10005859375000001,0.035693359375,0.9169921875,6.2646484375,0.62890625,0.2267578125,42,8,0.044725585937500006,0.16910058593750002,5.072151704350711,3.389256906215805
42,191.97265625,12,2.07421875,0.5498046875,0.72421875,0.42578125,0.53671875,0.41953125,0.10005859375000001,0.035693359375,0.9169921875,6.2646484375,0.62890625,0.2267578125,42,8,0.044725585937500006,0.16910058593750002,9.38151963876036,7.487927451117041
43,191.97265625,12,2.07421875,0.6767578125,0.46015625000000004,0.42578125,0.53671875,0.41953125,0.10005859375000001,0.035693359375,0.9169921875,6.2646484375,0.62890625,0.2267578125,42,8,0.044725585937500006,0.16910058593750002,2.4931769645849515,2.5819309564902415
44,191.97265625,12,2.07421875,0.6767578125,0.72421875,0.13203125000000002,0.53671875,0.41953125,0.10005859375000001,0.035693359375,0.9169921875,6.2646484375,0.62890625,0.2267578125,42,8,0.044725585937500006,0.16910058593750002,7.5629994119704405,2.463080447361368
45,191.97265625,12,2.07421875,0.6767578125,0.72421875,0.42578125,0.16640625,0.41953125,0.10005859375000001,0.035693359375,0.9169921875,6.2646484375,0.62890625,0.2267578125,42,8,0.044725585937500006,0.16910058593750002,7.788941872803576,9.173316813396227
46,191.97265625,12,2.07421875,0.6767578125,0.72421875,0.42578125,0.53671875,0.42578125,0.10005859375000001,0.035693359375,0.9169921875,6.2646484375,0.62890625,0.2267578125,42,8,0.044725585937500006,0.16910058593750002,8.666137550981386,6.837401716395792
47,191.97265625,12,2.07421875,0.6767578125,0.72421875,0.42578125,0.53671875,0.41953125,0.13240234375,0.035693359375,0.9169921875,6.2646484375,0.62890625,0.2267578125,42,8,0.044725585937500006,0.16910058593750002,4.556161812497668,5.646707715331588
48,191.97265625,12,2.07421875,0.6767578125,0.72421875,0.42578125,0.53671875,0.41953125,0.10005859375000001,0.034794921875,0.9169921875,6.2646484375,0.62890625,0.2267578125,42,8,0.044725585937500006,0.16910058593750002,8.255767995973766,7.5264551302291585
49,191.97265625,12,2.07421875,0.6767578125,0.72421875,0.42578125,0.53671875,0.41953125,0.10005859375000001,0.035693359375,0.9119140625000001,6.2646484375,0.62890625,0.2267578125,42,8,0.044725585937500006,0.16910058593750002,2.4324620323264012,7.389023936515169
50,191.97265625,12,2.07421875,0.6767578125,0.72421875,0.42578125,0.53671875,0.41953125,0.10005859375000001,0.035693359375,0.9169921875,6.5224609375,0.62890625,0.2267578125,42,8,0.044725585937500006,0.16910058593750002,4.216196895293406,8.752386964049801
51,191.97265625,12,2.07421875,0.6767578125,0.72421875,0.42578125,0.53671875,0.41953125,0.10005859375000001,0.035693359375,0.9169921875,6.2646484375,0.61796875,0.2267578125,42,8,0.044725585937500006,0.16910058593750002,9.221037218522017,6.339689426251712
52,191.97265625,12,2.07421875,0.6767578125,0.72421875,0.42578125,0.53671875,0.41953125,0.10005859375000001,0.035693359375,0.9169921875,6.2646484375,0.62890625,0.17910156250000003,42,8,0.044725585937500006,0.16910058593750002,6.5351439879030195,9.992871913356634
53,191.97265625,12,2.07421875,0.6767578125,0.72421875,0.42578125,0.53671875,0.41953125,0.10005859375000001,0.035693359375,0.9169921875,6.2646484375,0.62890625,0.2267578125,49,8,0.044725585937500006,0.16910058593750002,3.6873599375889983,7.069010875095355
54,191.97265625,12,2.07421875,0.6767578125,0.72421875,0.42578125,0.53671875,0.41953125,0.10005859375000001,0.035693359375,0.9169921875,6.2646484375,0.62890625,0.2267578125,42,1,0.044725585937500006,0.16910058593750002,6.539452556331279,8.65708330152185
55,191.97265625,12,2.07421875,0.6767578125,0.72421875,0.42578125,0.53671875,0.41953125,0.10005859375000001,0.035693359375,0.9169921875,6.2646484375,0.62890625,0.2267578125,42,8,0.0610498046875,0.16910058593750002,2.8765647501005907,6.673922129552323
56,191.97265625,12,2.07421875,0.6767578125,0.72421875,0.42578125,0.53671875,0.41953125,0.10005859375000001,0.035693359375,0.9169921875,6.2646484375,0.62890625,0.2267578125,42,8,0.044725585937500006,0.054831054687500005,2.861999134076984,7.912329073269791
57,191.97265625,6,2.08984375,0.5498046875,0.46015625000000004,0.13203125000000002,0.16640625,0.42578125,0.13240234375,0.034794921875,0.9119140625000001,6.5224609375,0.61796875,0.17910156250000003,49,1,0.0610498046875,0.054831054687500005,4.33268857945898,2.3918111785532323
58,169.12109375,12,2.08984375,0.5498046875,0.46015625000000004,0.13203125000000002,0.16640625,0.42578125,0.13240234375,0.034794921875,0.9119140625000001,6.5224609375,0.61796875,0.17910156250000003,49,1,0.0610498046875,0.054831054687500005,5.655281566568678,9.227456444847885
59,169.12109375,6,2.07421875,0.5498046875,0.46015625000000004,0.13203125000000002,0.16640625,0.42578125,0.13240234375,0.034794921875,0.9119140625000001,6.5224609375,0.61796875,0.17910156250000003,49,1,0.0610498046875,0.054831054687500005,3.0408293567295237,9.357014623067517
60,169.12109375,6,2.08984375,0.6767578125,0.46015625000000004,0.13203125000000002,0.16640625,0.42578125,0.13240234375,0.034794921875,0.9119140625000001,6.5224609375,0.61796875,0.17910156250000003,49,1,0.0610498046875,0.054831054687500005,3.1791023268450553,6.656043451688657
61,169.12109375,6,2.08984375,0.5498046875,0.72421875,0.13203125000000002,0.16640625,0.42578125,0.13240234375,0.034794921875,0.9119140625000001,6.5224609375,0.61796875,0.17910156250000003,49,1,0.0610498046875,0.054831054687500005,6.423905085200846,4.8393589141601705
62,169.12109375,6,2.08984375,0.5498046875,0.46015625000000004,0.42578125,0.16640625,0.42578125,0.13240234375,0.034794921875,0.9119140625000001,6.5224609375,0.61796875,0.17910156250000003,49,1,0.0610498046875,0.054831054687500005,3.877860439313271,9.807407259006474
63,169.12109375,6,2.08984375,0.5498046875,0.46015625000000004,0.13203125000000002,0.53671875,0.42578125,0.13240234375,0.034794921875,0.9119140625000001,6.5224609375,0.61796875,0.17910156250000003,49,1,0.0610498046875,0.054831054687500005,7.30475470702757,5.748641311133675
64,169.12109375,6,2.08984375,0.5498046875,0.46015625000000004,0.13203125000000002,0.16640625,0.41953125,0.13240234375,0.034794921875,0.9119140625000001,6.5224609375,0.61796875,0.17910156250000003,49,1,0.0610498046875,0.054831054687500005,5.395280064982386,7.679985692052343
65,169.12109375,6,2.08984375,0.5498046875,0.46015625000000004,0.13203125000000002,0.16640625,0.42578125,0.10005859375000001,0.034794921875,0.9119140625000001,6.5224609375,0.61796875,0.17910156250000003,49,1,0.0610498046875,0.054831054687500005,3.001795117547008,7.31649693908369
66,169.12109375,6,2.08984375,0.5498046875,0.46015625000000004,0.13203125000000002,0.16640625,0.42578125,0.13240234375,0.035693359375,0.9119140625000001,6.5224609375,0.61796875,0.17910156250000003,49,1,0.0610498046875,0.054831054687500005,6.509523410721943,8.582707461798176
67,169.12109375,6,2.08984375,0.5498046875,0.46015625000000004,0.13203125000000002,0.16640625,0.42578125,0.13240234375,0.034794921875,0.9169921875,6.5224609375,0.61796875,0.17910156250000003,49,1,0.0610498046875,0.054831054687500005,8.611216161553386,9.431762998120602
68,169.12109375,6,2.08984375,0.5498046875,0.46015625000000004,0.13203125000000002,0.16640625,0.42578125,0.13240234375,0.034794921875,0.9119140625000001,6.2646484375,0.61796875,0.17910156250000003,49,1,0.0610498046875,0.054831054687500005,7.677175756013115,5.507225921440464
69,169.12109375,6,2.08984375,0.5498046875,0.46015625000000004,0.13203125000000002,0.16640625,0.42578125,0.13240234375,0.034794921875,0.9119140625000001,6.5224609375,0.62890625,0.17910156250000003,49,1,0.0610498046875,0.054831054687500005,8.654572053741777,2.5870795528881576
70,169.12109375,6,2.08984375,0.5498046875,0.46015625000000004,0.13203125000000002,0.16640625,0.42578125,0.13240234375,0.034794921875,0.9119140625000001,6.5224609375,0.61796875,0.2267578125,49,1,0.0610498046875,0.054831054687500005,5.078478544074175,3.2006038877600895
71,169.12109375,6,2.08984375,0.5498046875,0.46015625000000004,0.13203125000000002,0.16640625,0.42578125,0.13240234375,0.034794921875,0.9119140625000001,6.5224609375,0.61796875,0.17910156250000003,42,1,0.0610498046875,0.054831054687500005,8.02990546413894,4.85499316434857
72,169.12109375,6,2.08984375,0.5498046875,0.46015625000000004,0.13203125000000002,0.16640625,0.42578125,0.13240234375,0.034794921875,0.9119140625000001,6.5224609375,0.61796875,0.17910156250000003,49,8,0.0610498046875,0.054831054687500005,7.825318689360213,6.617974512906157
73,169.12109375,6,2.08984375,0.5498046875,0.46015625000000004,0.13203125000000002,0.16640625,0.42578125,0.13240234375,0.034794921875,0.9119140625000001,6.5224609375,0.61796875,0.17910156250000003,49,1,0.044725585937500006,0.054831054687500005,4.563505110825364,2.7395709972089017
74,169.12109375,6,2.08984375,0.5498046875,0.46015625000000004,0.13203125000000002,0.16640625,0.42578125,0.13240234375,0.034794921875,0.9119140625000001,6.5224609375,0.61796875,0.17910156250000003,49,1,0.0610498046875,0.16910058593750002,9.549480791836325,9.44579071972268
75,169.12109375,6,2.08984375,0.5498046875,0.46015625000000004,0.13203125000000002,0.16640625,0.42578125,0.13240234375,0.034794921875,0.9119140625000001,6.5224609375,0.61796875,0.17910156250000003,49,1,0.0610498046875,0.054831054687500005,7.650644826573812,2.4128206484845682
76,216.97265625,8,5.07421875,1.4267578125,0.5242187500000001,0.22578125000000002,0.33671875,0.21953125,0.11505859375000001,0.038193359375,0.9669921875,5.5146484375,0.42890625000000004,0.07675781250000001,54,2,0.09447558593750001,0.0198505859375,2.925628280006759,2.701484739731831
77,144.12109375,8,5.07421875,1.4267578125,0.5242187500000001,0.22578125000000002,0.33671875,0.21953125,0.11505859375000001,0.038193359375,0.9669921875,5.5146484375,0.42890625000000004,0.07675781250000001,54,2,0.09447558593750001,0.0198505859375,8.002509894041651,2.3204214406548855
78,216.97265625,19,5.07421875,1.4267578125,0.5242187500000001,0.22578125000000002,0.33671875,0.21953125,0.11505859375000001,0.038193359375,0.9669921875,5.5146484375,0.42890625000000004,0.07675781250000001,54,2,0.09447558593750001,0.0198505859375,7.828405783426726,7.183157530459352
79,216.97265625,8,5.08984375,1.4267578125,0.5242187500000001,0.22578125000000002,0.33671875,0.21953125,0.11505859375000001,0.038193359375,0.9669921875,5.5146484375,0.42890625000000004,0.07675781250000001,54,2,0.09447558593750001,0.0198505859375,9.06138483334968,9.59268809169457
80,216.97265625,8,5.07421875,0.7998046875,0.5242187500000001,0.22578125000000002,0.33671875,0.21953125,0.11505859375000001,0.038193359375,0.9669921875,5.5146484375,0.42890625000000004,0.07675781250000001,54,2,0.09447558593750001,0.0198505859375,7.991635098948542,9.894583886723366
81,216.97265625,8,5.07421875,1.4267578125,0.66015625,0.22578125000000002,0.33671875,0.21953125,0.11505859375000001,0.038193359375,0.9669921875,5.5146484375,0.42890625000000004,0.07675781250000001,54,2,0.09447558593750001,0.0198505859375,3.176219273661559,7.7202361537372655
82,216.97265625,8,5.07421875,1.4267578125,0.5242187500000001,0.73203125,0.33671875,0.21953125,0.11505859375000001,0.038193359375,0.9669921875,5.5146484375,0.42890625000000004,0.07675781250000001,54,2,0.09447558593750001,0.0198505859375,7.641662207917803,9.33345634600968
83,216.97265625,8,5.07421875,1.4267578125,0.5242187500000001,0.22578125000000002,0.7664062500000001,0.21953125,0.11505859375000001,0.038193359375,0.9669921875,5.5146484375,0.42890625000000004,0.07675781250000001,54,2,0.09447558593750001,0.0198505859375,5.454139990284786,3.8731874727983753
84,216.97265625,8,5.07421875,1.4267578125,0.5242187500000001,0.22578125000000002,0.33671875,0.22578125000000002,0.11505859375000001,0.038193359375,0.9669921875,5.5146484375,0.42890625000000004,0.07675781250000001,54,2,0.09447558593750001,0.0198505859375,3.8154838006831904,4.590075930246814
85,216.97265625,8,5.07421875,1.4267578125,0.5242187500000001,0.22578125000000002,0.33671875,0.21953125,0.11740234375,0.038193359375,0.9669921875,5.5146484375,0.42890625000000004,0.07675781250000001,54,2,0.09447558593750001,0.0198505859375,8.470407572671428,8.106715739038496
86,216.97265625,8,5.07421875,1.4267578125,0.5242187500000001,0.22578125000000002,0.33671875,0.21953125,0.11505859375000001,0.032294921875,0.9669921875,5.5146484375,0.42890625000000004,0.07675781250000001,54,2,0.09447558593750001,0.0198505859375,9.546478387996494,3.7030814279482653
87,216.97265625,8,5.07421875,1.4267578125,0.5242187500000001,0.22578125000000002,0.33671875,0.21953125,0.11505859375000001,0.038193359375,0.8619140625,5.5146484375,0.42890625000000004,0.07675781250000001,54,2,0.09447558593750001,0.0198505859375,9.442115817974257,3.002575888165686
88,216.97265625,8,5.07421875,1.4267578125,0.5242187500000001,0.22578125000000002,0.33671875,0.21953125,0.11505859375000001,0.038193359375,0.9669921875,5.7724609375,0.42890625000000004,0.07675781250000001,54,2,0.09447558593750001,0.0198505859375,9.213621593118976,9.294505001478786
89,216.97265625,8,5.07421875,1.4267578125,0.5242187500000001,0.22578125000000002,0.33671875,0.21953125,0.11505859375000001,0.038193359375,0.9669921875,5.5146484375,0.41796875,0.07675781250000001,54,2,0.09447558593750001,0.0198505859375,8.463541743098844,6.797922961135417
90,216.97265625,8,5.07421875,1.4267578125,0.5242187500000001,0.22578125000000002,0.33671875,0.21953125,0.11505859375000001,0.038193359375,0.9669921875,5.5146484375,0.42890625000000004,0.1291015625,54,2,0.09447558593750001,0.0198505859375,5.179751468582082,7.155679184049255
91,216.97265625,8,5.07421875,1.4267578125,0.5242187500000001,0.22578125000000002,0.33671875,0.21953125,0.11505859375000001,0.038193359375,0.9669921875,5.5146484375,0.42890625000000004,0.07675781250000001,12,2,0.09447558593750001,0.0198505859375,6.395446033249021,5.679124124492031
92,216.97265625,8,5.07421875,1.4267578125,0.5242187500000001,0.22578125000000002,0.33671875,0.21953125,0.11505859375000001,0.038193359375,0.9669921875,5.5146484375,0.42890625000000004,0.07675781250000001,54,4,0.09447558593750001,0.0198505859375,2.5047316453330675,2.0089452518712347
93,216.97265625,8,5.07421875,1.4267578125,0.5242187500000001,0.22578125000000002,0.33671875,0.21953125,0.11505859375000001,0.038193359375,0.9669921875,5.5146484375,0.42890625000000004,0.07675781250000001,54,2,0.011299804687500001,0.0198505859375,9.471762988566415,9.57424033756329
94,216.97265625,8,5.07421875,1.4267578125,0.5242187500000001,0.22578125000000002,0.33671875,0.21953125,0.11505859375000001,0.038193359375,0.9669921875,5.5146484375,0.42890625000000004,0.07675781250000001,54,2,0.09447558593750001,0.0050810546875,6.010465139182562,4.212928134234853
95,216.97265625,19,5.08984375,0.7998046875,0.66015625,0.73203125,0.7664062500000001,0.22578125000000002,0.11740234375,0.032294921875,0.8619140625,5.7724609375,0.41796875,0.1291015625,12,4,0.011299804687500001,0.0050810546875,8.799860365355979,7.0815506368399745
96,144.12109375,8,5.08984375,0.7998046875,0.66015625,0.73203125,0.7664062500000001,0.22578125000000002,0.11740234375,0.032294921875,0.8619140625,5.7724609375,0.41796875,0.1291015625,12,4,0.011299804687500001,0.0050810546875,7.7376371884013215,3.8440611383691135
97,144.12109375,19,5.07421875,0.7998046875,0.66015625,0.73203125,0.7664062500000001,0.22578125000000002,0.11740234375,0.032294921875,0.8619140625,5.7724609375,0.41796875,0.1291015625,12,4,0.011299804687500001,0.0050810546875,6.156939918712053,2.137912173322449
98,144.12109375,19,5.08984375,1.4267578125,0.66015625,0.73203125,0.7664062500000001,0.22578125000000002,0.11740234375,0.032294921875,0.8619140625,5.7724609375,0.41796875,0.1291015625,12,4,0.011299804687500001,0.0050810546875,8.639097140060937,3.8215657296547176
99,144.12109375,19,5.08984375,0.7998046875,0.5242187500000001,0.73203125,0.7664062500000001,0.22578125000000002,0.11740234375,0.032294921875,0.8619140625,5.7724609375,0.41796875,0.1291015625,12,4,0.011299804687500001,0.0050810546875,9.232635978819332,5.827923164675943
100,144.12109375,19,5.08984375,0.7998046875,0.66015625,0.22578125000000002,0.7664062500000001,0.22578125000000002,0.11740234375,0.032294921875,0.8619140625,5.7724609375,0.41796875,0.1291015625,12,4,0.011299804687500001,0.0050810546875,7.142980769450211,4.1351243804768645
101,144.12109375,19,5.08984375,0.7998046875,0.66015625,0.73203125,0.33671875,0.22578125000000002,0.11740234375,0.032294921875,0.8619140625,5.7724609375,0.41796875,0.1291015625,12,4,0.011299804687500001,0.0050810546875,5.299183171979733,9.796318806316982
102,144.12109375,19,5.08984375,0.7998046875,0.66015625,0.73203125,0.7664062500000001,0.21953125,0.11740234375,0.032294921875,0.8619140625,5.7724609375,0.41796875,0.1291015625,12,4,0.011299804687500001,0.0050810546875,4.410912378932001,7.304394096122643
